dataset,classifier,metric,author,fold,value
mushroom,svm,f1,thalles--barros,v4,0.8958838449774329
agaricus-lepiota,svm,f1,vitor--garcia,v4,1.0
Car Evaluation,svm,f1,vitor-oliveira,v4,0.7600000000000001
bank,svm,f1,ana--beatriz,v5,0.4719626168224299
glass_identification,svm,f1,andrey--jodar,v5,0.2165032679738562
spambase,svm,f1,arthur--heiji,v5,0.9390097295094492
wine_quality_red,svm,f1,arthur-hydeki,v5,0.8886962304974892
insurance,svm,f1,arthur-protazio,v5,0.894315212337881
column_2c,svm,f1,eduardo-barbeiro,v5,0.6154057582629011
Automobile,svm,f1,eduardo-cavazin,v5,0.1706730769230769
accelerator-mobile,svm,f1,gregory--soares,v5,0.788
iris,svm,f1,gustavo--cruz-v2,v5,1.0
garments-workers,svm,f1,isaque--cruz,v5,0.4385044811952962
wine,svm,f1,larissa-v2,v5,1.0
tic_tac_toe,svm,f1,leandro-menoni,v5,0.5
wine-white,svm,f1,lucas-v2,v5,0.6365583019616312
data.csv,svm,f1,luiz-miguel-silva,v5,0.6141906405421217
breast-cancer-wisconsin.csv,svm,f1,mateus--raskoski,v5,0.97147522431493
iris,svm,f1,pablo-v2,v5,0.9326599326599326
bank,svm,f1,rafael-leonardo,v5,0.7631225379240234
Rice,svm,f1,rafael-scarpelli,v5,0.9665831244778612
Mushroom,svm,f1,renato-augusto-v2,v5,0.972517730496454
car.csv,svm,f1,romulo-jordao,v5,0.9518517649011616
mushroom,svm,f1,thalles--barros,v5,0.9645104895104896
agaricus-lepiota,svm,f1,vitor--garcia,v5,1.0
Car Evaluation,svm,f1,vitor-oliveira,v5,0.7600000000000001
bank,svm,f1,ana--beatriz,v6,0.4682726204465335
glass_identification,svm,f1,andrey--jodar,v6,0.2225213810579664
spambase,svm,f1,arthur--heiji,v6,0.9279474107048118
wine_quality_red,svm,f1,arthur-hydeki,v6,0.8989609963111789
insurance,svm,f1,arthur-protazio,v6,0.9061917319254372
column_2c,svm,f1,eduardo-barbeiro,v6,0.462026862026862
Automobile,svm,f1,eduardo-cavazin,v6,0.1586206896551724
accelerator-mobile,svm,f1,gregory--soares,v6,0.803
iris,svm,f1,gustavo--cruz-v2,v6,0.3333333333333333
garments-workers,svm,f1,isaque--cruz,v6,0.4600892647404275
wine,svm,f1,larissa-v2,v6,1.0
tic_tac_toe,svm,f1,leandro-menoni,v6,0.42
wine-white,svm,f1,lucas-v2,v6,0.6161958516376578
data.csv,svm,f1,luiz-miguel-silva,v6,0.618695768911926
breast-cancer-wisconsin.csv,svm,f1,mateus--raskoski,v6,0.9715631307468042
iris,svm,f1,pablo-v2,v6,0.9665831244778612
bank,svm,f1,rafael-leonardo,v6,0.5420406315933256
Rice,svm,f1,rafael-scarpelli,v6,0.9665831244778612
Mushroom,svm,f1,renato-augusto-v2,v6,0.9725177304964538
car.csv,svm,f1,romulo-jordao,v6,0.9751451598585356
mushroom,svm,f1,thalles--barros,v6,0.688500253866426
agaricus-lepiota,svm,f1,vitor--garcia,v6,1.0
Car Evaluation,svm,f1,vitor-oliveira,v6,0.7014925373134329
bank,svm,f1,ana--beatriz,v7,0.4707259953161593
glass_identification,svm,f1,andrey--jodar,v7,0.2211538461538461
spambase,svm,f1,arthur--heiji,v7,0.9277921670198572
wine_quality_red,svm,f1,arthur-hydeki,v7,0.879737732752981
insurance,svm,f1,arthur-protazio,v7,0.9067876159151564
column_2c,svm,f1,eduardo-barbeiro,v7,0.4492122719734659
Automobile,svm,f1,eduardo-cavazin,v7,0.2
accelerator-mobile,svm,f1,gregory--soares,v7,0.832
iris,svm,f1,gustavo--cruz-v2,v7,0.964747356051704
garments-workers,svm,f1,isaque--cruz,v7,0.4804813863260487
wine,svm,f1,larissa-v2,v7,0.9717813051146384
tic_tac_toe,svm,f1,leandro-menoni,v7,0.39
wine-white,svm,f1,lucas-v2,v7,0.6303543808139578
data.csv,svm,f1,luiz-miguel-silva,v7,0.6437229873723176
breast-cancer-wisconsin.csv,svm,f1,mateus--raskoski,v7,0.9645308650833512
iris,svm,f1,pablo-v2,v7,1.0
bank,svm,f1,rafael-leonardo,v7,0.7896282088119286
Rice,svm,f1,rafael-scarpelli,v7,1.0
Mushroom,svm,f1,renato-augusto-v2,v7,0.9725177304964538
car.csv,svm,f1,romulo-jordao,v7,0.8887130587678367
mushroom,svm,f1,thalles--barros,v7,1.0
agaricus-lepiota,svm,f1,vitor--garcia,v7,1.0
Car Evaluation,svm,f1,vitor-oliveira,v7,0.7014925373134329
bank,svm,f1,ana--beatriz,v8,0.465405085748078
glass_identification,svm,f1,andrey--jodar,v8,0.2499597423510466
spambase,svm,f1,arthur--heiji,v8,0.9161373927696832
wine_quality_red,svm,f1,arthur-hydeki,v8,0.9164204379522364
insurance,svm,f1,arthur-protazio,v8,0.9088209034735308
column_2c,svm,f1,eduardo-barbeiro,v8,0.4816993464052287
Automobile,svm,f1,eduardo-cavazin,v8,0.2475524475524475
accelerator-mobile,svm,f1,gregory--soares,v8,0.8
iris,svm,f1,gustavo--cruz-v2,v8,0.25
garments-workers,svm,f1,isaque--cruz,v8,0.4345062877708318
wine,svm,f1,larissa-v2,v8,1.0
tic_tac_toe,svm,f1,leandro-menoni,v8,0.42
wine-white,svm,f1,lucas-v2,v8,0.6255022543042026
data.csv,svm,f1,luiz-miguel-silva,v8,0.6505172706864314
breast-cancer-wisconsin.csv,svm,f1,mateus--raskoski,v8,0.9571428571428572
iris,svm,f1,pablo-v2,v8,1.0
bank,svm,f1,rafael-leonardo,v8,0.6397963989606672
Rice,svm,f1,rafael-scarpelli,v8,0.9665831244778612
Mushroom,svm,f1,renato-augusto-v2,v8,0.9725177304964538
car.csv,svm,f1,romulo-jordao,v8,0.9264256879009104
mushroom,svm,f1,thalles--barros,v8,0.9993147930856546
agaricus-lepiota,svm,f1,vitor--garcia,v8,1.0
Car Evaluation,svm,f1,vitor-oliveira,v8,0.7014925373134329
bank,svm,f1,ana--beatriz,v9,0.4697947214076246
glass_identification,svm,f1,andrey--jodar,v9,0.2516339869281045
spambase,svm,f1,arthur--heiji,v9,0.9392767022578304
wine_quality_red,svm,f1,arthur-hydeki,v9,0.9714212041286018
insurance,svm,f1,arthur-protazio,v9,0.8840126904739986
column_2c,svm,f1,eduardo-barbeiro,v9,0.54312047399605
Automobile,svm,f1,eduardo-cavazin,v9,0.2264957264957265
accelerator-mobile,svm,f1,gregory--soares,v9,0.799
iris,svm,f1,gustavo--cruz-v2,v9,1.0
garments-workers,svm,f1,isaque--cruz,v9,0.4641702586206896
wine,svm,f1,larissa-v2,v9,1.0
tic_tac_toe,svm,f1,leandro-menoni,v9,0.45
wine-white,svm,f1,lucas-v2,v9,0.6105824015446529
data.csv,svm,f1,luiz-miguel-silva,v9,0.5645571857935526
breast-cancer-wisconsin.csv,svm,f1,mateus--raskoski,v9,0.9857777777777778
iris,svm,f1,pablo-v2,v9,0.8976982097186701
bank,svm,f1,rafael-leonardo,v9,0.733589190136546
Rice,svm,f1,rafael-scarpelli,v9,0.9665831244778612
Mushroom,svm,f1,renato-augusto-v2,v9,0.9725177304964538
car.csv,svm,f1,romulo-jordao,v9,0.9040101257814896
mushroom,svm,f1,thalles--barros,v9,0.8958838449774329
agaricus-lepiota,svm,f1,vitor--garcia,v9,1.0
Car Evaluation,svm,f1,vitor-oliveira,v9,0.7014925373134329
bank,svm,f1,ana--beatriz,v10,0.4728862973760933
glass_identification,svm,f1,andrey--jodar,v10,0.1739341085271318
spambase,svm,f1,arthur--heiji,v10,0.9378542510121456
wine_quality_red,svm,f1,arthur-hydeki,v10,0.9199480638222962
insurance,svm,f1,arthur-protazio,v10,0.8895972838295513
column_2c,svm,f1,eduardo-barbeiro,v10,0.5071168487255875
Automobile,svm,f1,eduardo-cavazin,v10,0.2891414141414141
accelerator-mobile,svm,f1,gregory--soares,v10,0.825
iris,svm,f1,gustavo--cruz-v2,v10,0.3333333333333333
garments-workers,svm,f1,isaque--cruz,v10,0.4752077797252219
wine,svm,f1,larissa-v2,v10,1.0
tic_tac_toe,svm,f1,leandro-menoni,v10,0.45
wine-white,svm,f1,lucas-v2,v10,0.6798488949030221
data.csv,svm,f1,luiz-miguel-silva,v10,0.6053820899442475
breast-cancer-wisconsin.csv,svm,f1,mateus--raskoski,v10,0.95703518817599
iris,svm,f1,pablo-v2,v10,0.899749373433584
bank,svm,f1,rafael-leonardo,v10,0.7079609497087211
Rice,svm,f1,rafael-scarpelli,v10,1.0
Mushroom,svm,f1,renato-augusto-v2,v10,0.972517730496454
car.csv,svm,f1,romulo-jordao,v10,0.9148043866827666
mushroom,svm,f1,thalles--barros,v10,0.9645104895104896
agaricus-lepiota,svm,f1,vitor--garcia,v10,1.0
Car Evaluation,svm,f1,vitor-oliveira,v10,0.7014925373134329
bank,svm,f1,ana--beatriz,v11,0.4676470588235294
glass_identification,svm,f1,andrey--jodar,v11,0.3046153846153846
spambase,svm,f1,arthur--heiji,v11,0.9179381463733716
wine_quality_red,svm,f1,arthur-hydeki,v11,0.9436213939218056
insurance,svm,f1,arthur-protazio,v11,0.8618604667269023
column_2c,svm,f1,eduardo-barbeiro,v11,0.5410628019323672
Automobile,svm,f1,eduardo-cavazin,v11,0.2135874877810361
accelerator-mobile,svm,f1,gregory--soares,v11,0.83
iris,svm,f1,gustavo--cruz-v2,v11,0.964747356051704
garments-workers,svm,f1,isaque--cruz,v11,0.4571582704911447
wine,svm,f1,larissa-v2,v11,1.0
tic_tac_toe,svm,f1,leandro-menoni,v11,0.45
wine-white,svm,f1,lucas-v2,v11,0.6401956349655095
data.csv,svm,f1,luiz-miguel-silva,v11,0.6313874034462269
breast-cancer-wisconsin.csv,svm,f1,mateus--raskoski,v11,0.9576486013986016
iris,svm,f1,pablo-v2,v11,0.9665831244778612
bank,svm,f1,rafael-leonardo,v11,0.6289367178151752
Rice,svm,f1,rafael-scarpelli,v11,0.9665831244778612
Mushroom,svm,f1,renato-augusto-v2,v11,0.9831560283687945
car.csv,svm,f1,romulo-jordao,v11,0.905270987167539
mushroom,svm,f1,thalles--barros,v11,0.688500253866426
agaricus-lepiota,svm,f1,vitor--garcia,v11,1.0
Car Evaluation,svm,f1,vitor-oliveira,v11,0.75
bank,svm,f1,ana--beatriz,v12,0.4660366213821618
glass_identification,svm,f1,andrey--jodar,v12,0.1970618034447822
spambase,svm,f1,arthur--heiji,v12,0.9288971326995904
wine_quality_red,svm,f1,arthur-hydeki,v12,0.8951403720323188
insurance,svm,f1,arthur-protazio,v12,0.8866187095308786
column_2c,svm,f1,eduardo-barbeiro,v12,0.468100358422939
Automobile,svm,f1,eduardo-cavazin,v12,0.2645962732919255
accelerator-mobile,svm,f1,gregory--soares,v12,0.812
iris,svm,f1,gustavo--cruz-v2,v12,0.25
garments-workers,svm,f1,isaque--cruz,v12,0.4456073781291172
wine,svm,f1,larissa-v2,v12,1.0
tic_tac_toe,svm,f1,leandro-menoni,v12,0.48
wine-white,svm,f1,lucas-v2,v12,0.6277674580600221
data.csv,svm,f1,luiz-miguel-silva,v12,0.6656486708158441
breast-cancer-wisconsin.csv,svm,f1,mateus--raskoski,v12,0.9928744457052722
iris,svm,f1,pablo-v2,v12,0.9665831244778612
bank,svm,f1,rafael-leonardo,v12,0.6348256831548762
Rice,svm,f1,rafael-scarpelli,v12,1.0
Mushroom,svm,f1,renato-augusto-v2,v12,0.9831560283687945
car.csv,svm,f1,romulo-jordao,v12,0.9428038875773452
mushroom,svm,f1,thalles--barros,v12,1.0
agaricus-lepiota,svm,f1,vitor--garcia,v12,1.0
Car Evaluation,svm,f1,vitor-oliveira,v12,0.75
bank,svm,f1,ana--beatriz,v13,0.4716540035067212
glass_identification,svm,f1,andrey--jodar,v13,0.2249683830171635
spambase,svm,f1,arthur--heiji,v13,0.936297856976819
wine_quality_red,svm,f1,arthur-hydeki,v13,0.9011319534131322
insurance,svm,f1,arthur-protazio,v13,0.8793460443447502
column_2c,svm,f1,eduardo-barbeiro,v13,0.4902356902356903
Automobile,svm,f1,eduardo-cavazin,v13,0.2619047619047619
accelerator-mobile,svm,f1,gregory--soares,v13,0.828
iris,svm,f1,gustavo--cruz-v2,v13,1.0
garments-workers,svm,f1,isaque--cruz,v13,0.4758501330085574
wine,svm,f1,larissa-v2,v13,1.0
tic_tac_toe,svm,f1,leandro-menoni,v13,0.44
wine-white,svm,f1,lucas-v2,v13,0.6313018997882124
data.csv,svm,f1,luiz-miguel-silva,v13,0.6286637012325086
breast-cancer-wisconsin.csv,svm,f1,mateus--raskoski,v13,0.9573446961202065
iris,svm,f1,pablo-v2,v13,0.9665831244778612
bank,svm,f1,rafael-leonardo,v13,0.5035736975438544
Rice,svm,f1,rafael-scarpelli,v13,0.9665831244778612
Mushroom,svm,f1,renato-augusto-v2,v13,0.9831560283687942
car.csv,svm,f1,romulo-jordao,v13,0.9157932546884452
mushroom,svm,f1,thalles--barros,v13,0.9993147930856546
agaricus-lepiota,svm,f1,vitor--garcia,v13,1.0
Car Evaluation,svm,f1,vitor-oliveira,v13,0.75
bank,svm,f1,ana--beatriz,v14,0.4679223072395527
glass_identification,svm,f1,andrey--jodar,v14,0.2175925925925926
spambase,svm,f1,arthur--heiji,v14,0.926984126984127
wine_quality_red,svm,f1,arthur-hydeki,v14,0.879416249831472
insurance,svm,f1,arthur-protazio,v14,0.9398839030445704
column_2c,svm,f1,eduardo-barbeiro,v14,0.4977954144620811
Automobile,svm,f1,eduardo-cavazin,v14,0.1772549019607843
accelerator-mobile,svm,f1,gregory--soares,v14,0.815
iris,svm,f1,gustavo--cruz-v2,v14,0.3333333333333333
garments-workers,svm,f1,isaque--cruz,v14,0.4664059912609639
wine,svm,f1,larissa-v2,v14,1.0
tic_tac_toe,svm,f1,leandro-menoni,v14,0.4
wine-white,svm,f1,lucas-v2,v14,0.6334351264583823
data.csv,svm,f1,luiz-miguel-silva,v14,0.5917733462203549
breast-cancer-wisconsin.csv,svm,f1,mateus--raskoski,v14,0.9928744457052722
iris,svm,f1,pablo-v2,v14,1.0
bank,svm,f1,rafael-leonardo,v14,0.6925033473535164
Rice,svm,f1,rafael-scarpelli,v14,1.0
Mushroom,svm,f1,renato-augusto-v2,v14,0.9831560283687945
car.csv,svm,f1,romulo-jordao,v14,0.9315117550887664
mushroom,svm,f1,thalles--barros,v14,0.8958838449774329
agaricus-lepiota,svm,f1,vitor--garcia,v14,1.0
Car Evaluation,svm,f1,vitor-oliveira,v14,0.75
bank,svm,f1,ana--beatriz,v15,0.4738067520372526
glass_identification,svm,f1,andrey--jodar,v15,0.3160559678416821
spambase,svm,f1,arthur--heiji,v15,0.9330279232111692
wine_quality_red,svm,f1,arthur-hydeki,v15,0.890068825880222
insurance,svm,f1,arthur-protazio,v15,0.8871768150547681
column_2c,svm,f1,eduardo-barbeiro,v15,0.4615384615384615
Automobile,svm,f1,eduardo-cavazin,v15,0.1832844574780058
accelerator-mobile,svm,f1,gregory--soares,v15,0.831
iris,svm,f1,gustavo--cruz-v2,v15,0.964747356051704
garments-workers,svm,f1,isaque--cruz,v15,0.4694124914047294
wine,svm,f1,larissa-v2,v15,0.9701104613385314
tic_tac_toe,svm,f1,leandro-menoni,v15,0.42
wine-white,svm,f1,lucas-v2,v15,0.6280228551615537
data.csv,svm,f1,luiz-miguel-silva,v15,0.5915979910416924
breast-cancer-wisconsin.csv,svm,f1,mateus--raskoski,v15,0.9424460431654677
iris,svm,f1,pablo-v2,v15,1.0
bank,svm,f1,rafael-leonardo,v15,0.5380623947108318
Rice,svm,f1,rafael-scarpelli,v15,0.9665831244778612
Mushroom,svm,f1,renato-augusto-v2,v15,0.9831560283687945
car.csv,svm,f1,romulo-jordao,v15,0.9318278041125756
mushroom,svm,f1,thalles--barros,v15,0.9645104895104896
agaricus-lepiota,svm,f1,vitor--garcia,v15,1.0
Car Evaluation,svm,f1,vitor-oliveira,v15,0.75
bank,svm,f1,ana--beatriz,v16,0.4713785046728972
glass_identification,svm,f1,andrey--jodar,v16,0.2776556776556776
spambase,svm,f1,arthur--heiji,v16,0.9342493784158916
wine_quality_red,svm,f1,arthur-hydeki,v16,0.8586459255365334
insurance,svm,f1,arthur-protazio,v16,0.8929893880982603
column_2c,svm,f1,eduardo-barbeiro,v16,0.4486727742541695
Automobile,svm,f1,eduardo-cavazin,v16,0.272463768115942
accelerator-mobile,svm,f1,gregory--soares,v16,0.814
iris,svm,f1,gustavo--cruz-v2,v16,0.25
garments-workers,svm,f1,isaque--cruz,v16,0.449867374005305
wine,svm,f1,larissa-v2,v16,0.9747545582047684
tic_tac_toe,svm,f1,leandro-menoni,v16,0.46
wine-white,svm,f1,lucas-v2,v16,0.6232174688057041
data.csv,svm,f1,luiz-miguel-silva,v16,0.6421473967955198
breast-cancer-wisconsin.csv,svm,f1,mateus--raskoski,v16,0.992873486243652
iris,svm,f1,pablo-v2,v16,0.9665831244778612
bank,svm,f1,rafael-leonardo,v16,0.6818967546890695
Rice,svm,f1,rafael-scarpelli,v16,0.9665831244778612
Mushroom,svm,f1,renato-augusto-v2,v16,0.9689716312056738
car.csv,svm,f1,romulo-jordao,v16,0.9316395942739888
mushroom,svm,f1,thalles--barros,v16,0.688500253866426
agaricus-lepiota,svm,f1,vitor--garcia,v16,1.0
Car Evaluation,svm,f1,vitor-oliveira,v16,0.7924528301886792
bank,svm,f1,ana--beatriz,v17,0.47010550996483
glass_identification,svm,f1,andrey--jodar,v17,0.2091503267973856
spambase,svm,f1,arthur--heiji,v17,0.93655641776972
wine_quality_red,svm,f1,arthur-hydeki,v17,0.911441384073592
insurance,svm,f1,arthur-protazio,v17,0.8467420146343163
column_2c,svm,f1,eduardo-barbeiro,v17,0.5068376068376068
Automobile,svm,f1,eduardo-cavazin,v17,0.2205405405405405
accelerator-mobile,svm,f1,gregory--soares,v17,0.829
iris,svm,f1,gustavo--cruz-v2,v17,1.0
garments-workers,svm,f1,isaque--cruz,v17,0.4683567727609178
wine,svm,f1,larissa-v2,v17,0.970961887477314
tic_tac_toe,svm,f1,leandro-menoni,v17,0.44
wine-white,svm,f1,lucas-v2,v17,0.630219575841918
data.csv,svm,f1,luiz-miguel-silva,v17,0.6365877641985773
breast-cancer-wisconsin.csv,svm,f1,mateus--raskoski,v17,0.9437562437562438
iris,svm,f1,pablo-v2,v17,0.9665831244778612
bank,svm,f1,rafael-leonardo,v17,0.5437090960875725
Rice,svm,f1,rafael-scarpelli,v17,0.9665831244778612
Mushroom,svm,f1,renato-augusto-v2,v17,0.9689716312056738
car.csv,svm,f1,romulo-jordao,v17,0.887293830842218
mushroom,svm,f1,thalles--barros,v17,1.0
agaricus-lepiota,svm,f1,vitor--garcia,v17,1.0
Car Evaluation,svm,f1,vitor-oliveira,v17,0.7924528301886792
bank,svm,f1,ana--beatriz,v18,0.4697947214076246
glass_identification,svm,f1,andrey--jodar,v18,0.2273242630385487
spambase,svm,f1,arthur--heiji,v18,0.9227141816467496
wine_quality_red,svm,f1,arthur-hydeki,v18,0.8587705736896507
insurance,svm,f1,arthur-protazio,v18,0.8990468871318931
column_2c,svm,f1,eduardo-barbeiro,v18,0.5282935455349248
Automobile,svm,f1,eduardo-cavazin,v18,0.2685185185185185
accelerator-mobile,svm,f1,gregory--soares,v18,0.813
iris,svm,f1,gustavo--cruz-v2,v18,0.3333333333333333
garments-workers,svm,f1,isaque--cruz,v18,0.4926843401419672
wine,svm,f1,larissa-v2,v18,1.0
tic_tac_toe,svm,f1,leandro-menoni,v18,0.46
wine-white,svm,f1,lucas-v2,v18,0.6442796680152292
data.csv,svm,f1,luiz-miguel-silva,v18,0.575812741220994
breast-cancer-wisconsin.csv,svm,f1,mateus--raskoski,v18,0.9498719772403984
iris,svm,f1,pablo-v2,v18,0.9665831244778612
bank,svm,f1,rafael-leonardo,v18,0.5424371821927787
Rice,svm,f1,rafael-scarpelli,v18,1.0
Mushroom,svm,f1,renato-augusto-v2,v18,0.9689716312056738
car.csv,svm,f1,romulo-jordao,v18,0.8990178830973208
mushroom,svm,f1,thalles--barros,v18,0.9993147930856546
agaricus-lepiota,svm,f1,vitor--garcia,v18,1.0
Car Evaluation,svm,f1,vitor-oliveira,v18,0.7924528301886792
bank,svm,f1,ana--beatriz,v19,0.4707259953161593
glass_identification,svm,f1,andrey--jodar,v19,0.2601794340924775
spambase,svm,f1,arthur--heiji,v19,0.9313801371663616
wine_quality_red,svm,f1,arthur-hydeki,v19,0.8874234959742336
insurance,svm,f1,arthur-protazio,v19,0.8945699228307924
column_2c,svm,f1,eduardo-barbeiro,v19,0.489135158626684
Automobile,svm,f1,eduardo-cavazin,v19,0.1314655172413793
accelerator-mobile,svm,f1,gregory--soares,v19,0.827
iris,svm,f1,gustavo--cruz-v2,v19,0.964747356051704
garments-workers,svm,f1,isaque--cruz,v19,0.4425366199052972
wine,svm,f1,larissa-v2,v19,1.0
tic_tac_toe,svm,f1,leandro-menoni,v19,0.46
wine-white,svm,f1,lucas-v2,v19,0.6304225467281759
data.csv,svm,f1,luiz-miguel-silva,v19,0.5816328240697989
breast-cancer-wisconsin.csv,svm,f1,mateus--raskoski,v19,0.985781565373402
iris,svm,f1,pablo-v2,v19,0.9665831244778612
bank,svm,f1,rafael-leonardo,v19,0.557482056955616
Rice,svm,f1,rafael-scarpelli,v19,0.9665831244778612
Mushroom,svm,f1,renato-augusto-v2,v19,0.9689716312056738
car.csv,svm,f1,romulo-jordao,v19,0.9336560001759202
mushroom,svm,f1,thalles--barros,v19,0.8958838449774329
agaricus-lepiota,svm,f1,vitor--garcia,v19,1.0
Car Evaluation,svm,f1,vitor-oliveira,v19,0.7924528301886792
bank,svm,f1,ana--beatriz,v20,0.4650887573964497
glass_identification,svm,f1,andrey--jodar,v20,0.1940035273368606
spambase,svm,f1,arthur--heiji,v20,0.9283279277831888
wine_quality_red,svm,f1,arthur-hydeki,v20,0.851880365897083
insurance,svm,f1,arthur-protazio,v20,0.9089203344595216
column_2c,svm,f1,eduardo-barbeiro,v20,0.4944560982918789
Automobile,svm,f1,eduardo-cavazin,v20,0.2307692307692307
accelerator-mobile,svm,f1,gregory--soares,v20,0.816
iris,svm,f1,gustavo--cruz-v2,v20,0.25
